host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
1,1,1,2,40.74008,-74.00271,2,2,1,1.0,1.0,7,1125,36,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.29,1,4,0,0,0,0,0,0
0,1,1,2,40.82748,-73.95069000000001,0,6,0,2.0,5.0,30,1125,219,95.0,10.0,10.0,10.0,9.0,9.0,10.0,0,1.72,3,5,0,0,0,0,0,0
1,1,1,1,40.71332,-73.94176999999999,2,2,0,1.0,1.0,3,12,352,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2.81,3,5,0,0,0,0,0,0
0,1,1,1,40.66941,-73.98109000000001,0,9,0,4.0,6.0,30,180,88,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.7,5,5,0,0,0,0,0,0
0,1,1,1,40.68373,-73.92376999999999,0,6,0,2.0,4.0,5,1125,170,92.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1.35,1,5,0,0,0,0,0,0
0,1,1,2,40.8104,-73.94309,2,2,1,1.0,1.0,1,1125,190,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.58,1,4,0,0,0,0,0,0
0,1,1,1,40.68157,-73.98989,0,6,0,3.0,3.0,30,66,20,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0.18,3,5,0,0,0,0,0,0
1,1,1,1,40.68698,-73.96571999999999,2,3,1,1.0,2.0,2,365,29,96.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0.26,1,5,0,0,0,0,0,0
1,1,1,1,40.66853,-73.98912,0,3,0,1.0,1.0,30,365,470,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.76,1,5,0,0,0,0,0,0
0,1,1,2,40.77823,-73.97636999999999,0,4,0,2.0,3.0,6,30,28,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0.25,2,5,0,0,0,0,0,0
1,1,1,2,40.82754,-73.94919,0,6,0,1.0,1.0,2,20,209,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.9,1,5,0,0,0,0,0,0
0,1,0,2,40.778,-73.94821999999999,0,4,0,1.0,2.0,5,30,21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.17,1,5,0,0,0,0,0,0
1,1,1,1,40.68414,-73.96351,2,2,1,1.0,1.0,3,90,281,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.25,1,4,0,0,0,0,0,0
0,1,1,2,40.72392,-73.99143000000001,0,3,0,1.0,1.0,3,1125,106,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0.85,1,5,0,0,0,0,0,0
1,1,1,1,40.73494,-73.9503,2,2,1,1.0,1.0,3,30,196,98.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1.66,3,4,0,0,0,0,0,0
1,1,1,2,40.767540000000004,-73.98399,2,2,1,1.0,1.0,1,365,66,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.53,1,5,0,0,0,0,0,0
0,1,1,1,40.631879999999995,-73.93248,2,2,1,3.0,1.0,2,90,4,87.0,8.0,8.0,9.0,9.0,9.0,9.0,0,0.03,1,4,0,0,0,0,0,0
0,1,1,1,40.688179999999996,-73.96383,2,2,0,1.0,1.0,2,365,464,90.0,10.0,9.0,10.0,10.0,10.0,10.0,1,3.75,1,4,0,0,0,0,0,0
0,1,1,1,40.682959999999994,-73.93661999999999,0,4,0,2.0,2.0,3,30,263,93.0,10.0,9.0,10.0,10.0,10.0,10.0,1,2.14,1,5,0,0,0,0,0,0
1,1,1,1,40.68513,-73.96648,2,3,0,1.0,2.0,4,730,92,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.75,2,5,0,0,0,0,0,0
0,1,1,1,40.71561,-73.94835,0,3,0,1.0,1.0,3,21,10,100.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.08,2,5,0,0,0,0,0,0
0,1,1,2,40.72354,-73.98295,0,3,0,2.0,2.0,1,1125,34,88.0,8.0,9.0,9.0,9.0,9.0,9.0,0,0.28,1,5,0,0,0,0,0,0
0,1,0,2,40.78849,-73.96883000000001,0,2,0,1.0,1.0,10,90,19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.17,1,5,0,0,0,0,0,0
1,1,1,2,40.73226,-74.00401,0,2,0,1.0,2.0,1,1125,136,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.11,1,5,0,0,0,0,0,0
0,1,1,2,40.75295,-73.99801,0,4,0,2.0,2.0,10,21,25,99.0,9.0,10.0,10.0,10.0,10.0,10.0,0,0.2,1,5,0,0,0,0,0,0
0,1,1,2,40.72125,-73.98177,0,4,0,2.0,3.0,2,30,64,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0.58,1,5,0,0,0,0,0,0
